web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1584086554-94","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=one_star","Scoe","some people might like it","Reviewed in the United States on April 20, 2018","I just could not get into this book.  Too unhappy.  Too sad","1.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&filterByStar=one_star&pageNumber=10&reviewerType=all_reviews&sortBy=recent"
"1584086949-1778","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=one_star","Amber Dews","Don't buy unless you want a play script!","Reviewed in the United States on August 1, 2016","If I could give zero stars...I would!!
My daughter and I are huge fans of the Harry Potter series and we were so excited to a) hear there would be an 8th book and b) we could preorder...but as soon as we flipped open the book we realized it is NOT a book but pure script. I should of researched more! This is poorly written and doesn't represent the beautiful storyline that J.K.R. masterfully created, so very disappointed! Why couldn't this have just been the wonderfully written 8th book to end this awesome literary treasure?! #wedontwantascript","1.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_178?ie=UTF8&filterByStar=one_star&pageNumber=178&reviewerType=all_reviews&sortBy=recent"
"1584086610-324","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=one_star","jose garcia","One Star","Reviewed in the United States on January 17, 2017","I love harry potter but this book ""the cursed child"" its really bad.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_33?ie=UTF8&filterByStar=one_star&pageNumber=33&reviewerType=all_reviews&sortBy=recent"
"1584086676-600","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=one_star","Michael Warren","Cursed disappointment","Reviewed in the United States on October 7, 2016","Very poorly written a total insult to Rowlings previous work. Tries to tie storylines from the books together and fails badly. Very pretensious and at times offensive to the integrity of the characters. Ronin particular is treated like a buffoon along for the ride. I feel very sorry for anyone who had paid to see the plays in London.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_60?ie=UTF8&filterByStar=one_star&pageNumber=60&reviewerType=all_reviews&sortBy=recent"
"1584086664-542","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=one_star","Allison Matthews","pathetic and sad","Reviewed in the United States on October 15, 2016","Characters are whiney, pathetic and sad.  Not written very well.  Huge disappointment.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_55?ie=UTF8&filterByStar=one_star&pageNumber=55&reviewerType=all_reviews&sortBy=recent"
"1584086820-1220","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=one_star","BethanyG","Ridiculous.","Reviewed in the United States on August 13, 2016","I'm a HUGE HP fan but this story is the most ridiculus piece of junk I've ever read. The story is stupid (I'm sorry, but I can't think of another word to describe it). It was NOT written by Rowling and frankly, it's insulting to the Harry Potter legacy. I can't believe Rowling is supporting this. I'm extremely disappointed and I wish I could un-read it and erase it from memory.
For me, the HP story will end with Deathly Hallows.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_122?ie=UTF8&filterByStar=one_star&pageNumber=122&reviewerType=all_reviews&sortBy=recent"
"1584086869-1429","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=one_star","fitz7","So Disappointed.","Reviewed in the United States on August 5, 2016","I've been a big Harry Potter fan from the beginning (like most of the reviewers). I blindly pre-ordered this 8th book back in March, without realizing it was a play script instead of like the other clever, witty, well-written stories of before. My mistake completely on that.

Anyway, even though I despise script reading because I find it to be choppy and hard to let imagination flow smoothly, thought I'd give it a try because no Harry Potter book could be bad, right? Wrong. Lacking everything that made the other Harry Potter books so great, from the very first dull act of the first lame scene. Will leave details out do those who want to read for themselves can, but just don't set the bar too high for your expectations on this one.

So disappointed.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_143?ie=UTF8&filterByStar=one_star&pageNumber=143&reviewerType=all_reviews&sortBy=recent"
"1584086899-1555","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=one_star","Amazon Customer","One thing I would like to make clear is that ""it reads like a ...","Reviewed in the United States on August 3, 2016","I'm not going to reiterate all my issues with this book because they have been covered by other reviewers. One thing I would like to make clear is that ""it reads like a play"" is the biggest cop-out I've ever heard. It being a play does not justify flat characters, lack of detail, poor plot, and incongruence. Shakespeare wrote plays and they read fantastically, no live performance is required to appreciate them. The ""necessity"" to see HP and the Cursed Child live does not justify the poor and lazy writing style. I can't imagine JK had much involvement in the script, and I'm disappointed she put her name on this. The original character's actions and personalities were utterly obliterated.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_156?ie=UTF8&filterByStar=one_star&pageNumber=156&reviewerType=all_reviews&sortBy=recent"
"1584086568-159","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=one_star","Celeste Bliss","What was that.","Reviewed in the United States on October 16, 2017","What a cash grab on the Harry Potter brand. This is what we have been waiting for. This is garbage","1.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=one_star&pageNumber=16&reviewerType=all_reviews&sortBy=recent"
"1584086858-1381","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=one_star","Amazon Customer","This play is horrid.","Reviewed in the United States on August 7, 2016","Though I did enjoy the books enough to find them page turners despite the maudlin bits, this play was nothing but maudlin. I cannot know if live actors would be able to somehow salvage the script from its melodramatic superficiality. But for me the action was limp and horribly predictable.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_139?ie=UTF8&filterByStar=one_star&pageNumber=139&reviewerType=all_reviews&sortBy=recent"
